YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70
3470.0,1.431423488,654.9870233,302.2129735,0.461402994,13.0,8.9,20.11,0.09,0.1024,0.0268,0.0392,0.8856
3471.0,1.254066852,2436.001099,15208.27921,6.243133147,14.0,100.1,66.4,0.41,0.4572,0.2122,1.8733,
3473.0,0.3612,304.41936,7940.27164,26.08333333,18.3,12.7,55.19,0.63,4.4131,1.7811,,177.3129
3474.0,0.164671533,4.519452288,35.02575523,7.75,19.1,58.9,39.32,0.04,0.0607,0.0444,0.0714,2.3353
3476.0,0.808,527.90175,895.13775,1.695652174,14.0,1.5,40.66,0.23,0.3992,0.0761,0.2119,5.6809
3479.0,0.399526963,385.4282349,5667.950564,14.70559251,19.9,106.5,58.0,0.66,0.0776,0.052,1.2255,10.7253
3480.0,0.384180418,961.9201665,127142.8278,132.1760706,36.2,342.0,55.38,1.77,2.5628,1.3856,,622.6035
3481.0,0.5395,93.0015,230.7815,2.481481481,15.2,1.8,38.94,0.08,0.3174,0.1318,0.1847,3.2018
3483.0,0.724427481,130.5466814,1984.657351,15.20266413,19.9,107.6,44.79,0.07,0.3008,0.1073,0.1669,5.466
3484.0,0.5694,705.98592,4028.724,5.706521739,15.6,3.9,46.23,0.6,3.4065,1.0731,1.9934,75.7843
3487.0,0.6688,45.42824,54.16444,1.192307692,13.2,1.2,37.7,0.03,,0.0101,0.0261,0.322
3492.0,0.1584,8.36352,326.17728,39.0,26.2,10.3,51.66,0.07,0.1493,0.0644,0.2521,2.6139
3495.0,0.3552,326.80768,21.904,0.067024129,9.5,0.2,14.4,0.73,0.4473,0.1387,0.2174,9.7051
3496.0,0.421,2674.56669,217010.3356,81.13850232,33.5,13.4,49.36,3.79,2.8712,2.3324,,5991.666
3497.0,1.246540342,163.5104513,58.3378997,0.35678392,12.4,7.9,19.27,0.03,,0.0098,0.0095,
3499.0,0.415175097,116.6277809,23.66174961,0.202882619,10.4,7.6,31.3,0.18,0.0573,0.0238,0.0701,0.4916
3501.0,0.225728155,20.70738053,4.973032331,0.24015748,9.9,10.5,40.85,0.11,,0.0094,0.0274,
3502.0,0.20438247,7.620990143,8.652402343,1.135338346,14.0,18.1,32.01,0.05,0.0486,0.0177,0.0232,0.4354
3504.0,0.342,8.748,44.712,5.111111111,19.4,2.0,29.0,0.02,,0.0739,0.0655,1.4068
3505.0,0.647673861,32.97681164,345.3348101,10.47204969,18.1,91.6,59.91,0.02,0.0849,0.0346,0.2091,1.0002
3507.0,0.283657143,149.2294008,537.9636376,3.60494403,15.2,47.8,52.12,0.48,0.4108,0.2107,2.9231,14.718
3508.0,0.172651163,27.77039264,10.50915306,0.378430121,12.6,8.2,19.46,0.25,,0.0123,0.0216,0.4697
3509.0,0.754458716,860.3882071,7016.839284,8.155434055,16.8,84.4,50.3,0.4,0.4081,0.1832,1.7509,19.3393
3510.0,0.947230769,443.4443018,20310.09427,45.80077857,23.9,228.2,54.14,0.13,1.8037,0.689,3.4253,64.285
3513.0,0.485649203,34.16410666,184.6648118,5.405228758,11.7,143.0,56.06,0.04,0.6632,0.3433,0.3298,7.5462
3514.0,0.553290323,145.1580291,536.5087612,3.69603228,15.6,45.6,42.72,0.13,0.075,0.0314,0.0679,1.0292
3515.0,1.051115207,143.8508696,530.8097089,3.69,14.9,50.0,43.64,0.03,0.0481,0.0321,0.0294,2.0203
3516.0,0.201022727,101.2896178,13364.17523,131.9402277,28.7,483.4,70.05,0.66,17.563,,,474.2535
3517.0,0.89955122,122.3851144,633.9916693,5.180300501,16.2,58.5,43.94,0.04,,0.0292,0.039,
3518.0,0.128051002,2.986444969,138.6454238,46.42490494,24.5,221.9,54.45,0.05,0.5136,0.2516,1.066,14.5848
3519.0,0.473,440.062,523.267,1.18907563,12.1,1.5,55.08,0.53,1.0336,0.5821,1.7663,8.2092
3522.0,0.5172,52.01308,527.56124,10.14285714,19.6,3.8,40.69,0.05,0.7834,0.2459,0.3791,12.6048
3524.0,0.342081448,593.4093733,15933.69125,26.85109466,22.2,158.5,69.35,1.38,1.7589,0.2797,,103.5185
3525.0,0.168786127,150.9904106,26658.42533,176.5570755,33.1,521.2,60.34,1.41,10.4025,2.3525,,1125.6398
3527.0,0.2598,5.62467,131.2423,23.33333333,25.9,5.9,40.12,0.02,0.0774,0.0322,0.0485,1.443
3528.0,0.526809524,173.3284694,177.5856599,1.024561404,11.9,25.3,44.51,0.17,,0.0792,0.1217,1.1051
3529.0,0.917968057,1470.019205,76587.96321,52.09997459,23.1,279.7,60.53,0.46,6.0331,3.0629,,247.8653
3530.0,0.666837456,289.4432104,3525.341715,12.1797354,18.6,101.1,49.01,0.17,0.2793,0.1181,0.6028,8.035
3531.0,1.22625,519.5096062,1676.732645,3.227529626,15.2,41.5,44.74,0.09,0.2994,0.1065,0.2261,4.6163
3532.0,0.404619048,265.7230952,715.2136644,2.691575092,14.2,42.3,76.35,0.43,0.3723,0.089,1.6715,7.589
3533.0,0.530190476,130.8175238,1139.397272,8.709821429,16.8,90.4,59.74,0.13,1.1155,0.2624,1.8627,
3535.0,0.3906,39.55476,312.67096,7.904761905,18.5,3.3,42.65,0.07,0.2488,0.1327,0.2003,3.6167
3537.0,1.279700967,598.0620327,3391.919002,5.671517028,17.1,55.9,41.73,0.1,0.1824,0.0905,0.1441,6.337
3538.0,1.324040729,270.3024224,3694.848192,13.66931217,20.7,89.5,43.75,0.04,0.5024,0.1646,0.5383,12.725
3540.0,0.275714286,75.76497279,85.39396599,1.127090301,13.5,20.0,34.29,0.26,0.6343,0.2644,0.9486,7.8565
3541.0,1.074663626,35.9415496,1285.096817,35.75518672,20.3,248.0,59.08,0.01,0.121,0.1278,0.7411,4.2995
3543.0,0.4796,1159.5856,20490.44784,17.6704918,20.1,6.4,55.26,1.45,8.5247,2.7328,,366.8619
3544.0,0.119040698,50.80239741,841.3725324,16.56166983,19.9,121.6,55.58,1.0,1.9662,0.628,6.1403,60.7086
3545.0,0.502272727,711.0302867,37035.27477,52.08677529,25.0,244.4,54.89,0.76,1.7132,0.8028,7.3661,103.8687
3546.0,0.141876676,135.3115512,9658.063875,71.37649219,28.5,271.1,57.07,1.71,5.992,1.1564,,351.6456
3547.0,0.857335702,953.6145666,11170.68299,11.71404399,18.1,103.3,63.72,0.34,0.7545,0.1951,2.5684,19.5183
3549.0,0.76137931,393.3259729,13502.85778,34.32994186,22.6,191.4,48.62,0.18,0.6886,0.2674,1.1749,25.0717
3550.0,0.209105181,22.26734916,86.74144649,3.895454545,15.6,47.8,43.8,0.13,0.6237,0.2143,0.4187,7.67
3551.0,0.222619048,3.964739229,319.3993923,80.56,23.1,432.6,66.49,0.02,1.0788,0.3392,4.039,26.5844
3552.0,0.095086129,36.40480976,202.3052179,5.557101361,18.0,50.2,39.62,1.09,0.2209,0.0805,0.4545,18.0488
3553.0,0.472994186,9.159203455,136.3526636,14.88695652,22.8,80.8,37.88,0.01,0.1391,0.0721,0.1307,
3554.0,0.944410983,249.9099828,3544.616954,14.18357488,18.9,111.2,52.88,0.07,0.385,0.1235,1.119,8.9233
3555.0,0.256537102,62.15510245,515.5217321,8.294117647,18.9,65.8,42.34,0.26,0.1161,0.0353,0.1249,2.2319
3556.0,0.045871639,0.776507982,23.59301908,30.38348558,22.7,167.3,46.65,0.1,1.7081,0.6307,1.5518,43.7258
3558.0,0.217288732,31.80684961,84.63310053,2.660845118,14.6,38.4,48.65,0.18,0.2056,0.0609,0.1842,2.9189
3560.0,0.811851852,164.7758573,659.1034294,4.0,18.1,58.4,39.72,0.05,0.1273,0.0494,0.0698,
3561.0,0.252,11.82762,16.11414,1.362416107,13.8,22.6,33.21,0.05,0.5179,0.1622,0.197,11.3807
3562.0,0.197617729,4.803188281,101.8136524,21.19709794,20.3,146.1,55.82,0.03,0.928,0.1918,0.6315,
3563.0,0.226537396,19.9968286,63.86439944,3.193726401,14.0,51.0,50.4,0.1,0.2911,0.0953,0.1615,2.9767
3565.0,0.3663,98.69121,130.84902,1.325842697,13.2,1.2,37.95,0.19,0.2229,0.0619,0.075,2.1648
3567.0,0.290666667,127.4850159,576.8616145,4.524936602,15.9,53.1,42.75,0.39,0.8656,0.2563,0.6225,16.1657
3569.0,0.360921861,148.301623,672.9260438,4.537550096,16.3,50.4,41.96,0.3,0.0227,0.0041,0.0524,1.3126
3570.0,0.489316547,689.1434061,81088.17792,117.6651727,28.3,441.6,71.26,0.78,6.0479,1.2704,,355.4308
3571.0,1.563074866,1688.140131,1069.148974,0.633329517,13.7,11.0,21.2,0.18,0.2373,0.0519,0.2259,3.5454
3572.0,0.660137457,295.5472892,4604.826562,15.58067602,20.0,109.6,46.84,0.18,0.3235,0.1503,0.6584,12.6944
3573.0,0.273911205,28.11851839,940.8099191,33.45873016,22.3,190.1,57.02,0.1,1.4074,0.4637,2.3098,25.1612
3576.0,0.228763251,6.320328634,65.19358214,10.31490385,19.6,76.0,46.24,0.03,0.1831,0.0779,0.1285,1.6284
3577.0,0.389733096,93.86488385,1509.239787,16.07885425,19.4,119.9,47.78,0.17,1.0491,0.3881,1.48,30.8005
3581.0,1.861012987,724.8664665,8626.858489,11.90130719,16.9,120.3,50.65,0.06,0.1702,0.0258,0.1377,3.2094
3583.0,0.111294118,13.61478201,32.14316955,2.360902256,14.7,33.5,41.75,0.27,0.1166,0.0395,0.248,2.9708
3584.0,0.69777027,209.8732105,59.6715889,0.284322086,12.0,7.2,18.55,0.11,,0.011,0.0146,
3585.0,0.675,40.5,60.75,1.5,13.9,1.2,37.59,0.02,,0.0088,0.0144,0.2848
3586.0,0.552462006,26.45289678,18.18170933,0.687323944,13.9,11.3,21.48,0.02,,0.0311,0.0391,
3589.0,0.015658263,0.210572072,5.407512024,25.68010076,20.4,174.5,62.31,0.23,0.4674,0.2069,1.483,12.3106
3590.0,0.668676599,165.9325963,1253.777415,7.555944056,17.0,75.0,54.86,0.1,0.0732,0.0351,0.3037,2.5524
3591.0,1.01722323,1225.599695,43824.51313,35.75760773,22.7,197.8,50.2,0.32,3.5488,1.4575,7.7243,130.6194
3592.0,0.704039497,563.7555399,9199.969466,16.31907594,21.8,98.0,46.36,0.3,0.8167,0.3613,1.2513,21.192
3594.0,0.35940919,40.0929619,1189.602296,29.67110036,22.6,164.2,46.96,0.08,0.9203,0.3207,0.7772,19.0417
3595.0,0.648816143,250.7289585,2919.720553,11.64492754,17.7,107.9,70.96,0.16,0.2213,0.0768,0.7661,7.6593
3596.0,0.77576779,1066.601282,23244.66058,21.79320518,21.9,129.4,53.12,0.48,1.8908,0.81,7.1653,80.3342
3597.0,0.191040359,14.79598472,64.27142778,4.343842536,18.0,38.7,32.84,0.11,0.3489,0.1081,0.1691,6.0862
3598.0,0.037533632,0.157833457,0.713101007,4.518059856,17.5,42.8,37.03,0.03,0.0354,0.0123,0.0297,0.5056
3599.0,1.296781003,312.798346,10665.93138,34.09842641,23.0,182.9,47.96,0.05,0.3661,0.2028,0.563,13.016
3602.0,0.871410825,135.9076138,578.244732,4.254689755,16.7,44.9,39.12,0.05,0.0522,0.0273,0.04,0.7341
3605.0,1.280681818,1642.183971,4877.832784,2.970332723,12.7,61.1,49.67,0.27,0.3647,0.1667,0.5051,15.3983
3606.0,0.834143167,1097.261213,4725.957614,4.307048821,15.6,52.9,58.21,0.42,,0.0586,0.1308,5.3718
3607.0,0.817486137,529.8599608,610.2251106,1.151672434,13.2,21.6,38.73,0.21,0.0868,0.0373,0.0737,1.1281
3609.0,0.767414796,253.5140108,1437.806322,5.671506352,17.0,57.1,42.65,0.12,0.1626,0.0595,0.1119,2.2985
3610.0,0.23245478,76.27679493,74.46329765,0.976224784,12.4,21.7,39.33,0.38,0.1525,0.0667,0.1493,4.7695
3612.0,1.760304679,4419.001869,910.6150087,0.20606803,9.6,10.2,43.96,0.38,0.0438,0.0152,0.0189,0.2024
3613.0,0.819220779,467.4185866,4570.628976,9.778449354,16.4,106.0,62.75,0.18,0.3228,0.0776,0.4473,8.1038
3614.0,0.505977213,2475.77604,51298.85124,20.72031169,24.5,105.3,45.11,2.55,0.4456,0.1162,1.2705,21.1501
3616.0,1.094874892,3395.664886,22974.56423,6.765851462,15.8,81.4,52.33,0.75,0.5609,0.1058,2.9306,53.3634
3617.0,0.128547009,11.2158913,114.9164111,10.24585635,17.8,92.1,52.85,0.18,0.3755,0.1482,1.4057,10.3259
3618.0,0.3552,228.67776,415.95696,1.818965517,12.6,1.8,61.63,0.54,0.3907,0.116,0.6484,5.9962
3620.0,0.088860244,23.8441601,37.21396251,1.560716014,14.9,21.9,31.22,0.79,0.02,0.0039,0.0268,1.6637
3621.0,0.36994709,83.95339436,520.1650122,6.195878274,16.1,70.3,45.04,0.16,0.2396,0.0925,0.1885,7.7267
3623.0,0.686180258,720.078025,37262.68652,51.74812344,24.3,252.5,55.0,0.42,1.8473,0.7276,6.6391,102.5906
3625.0,0.279,74.72736,3328.48116,44.54166667,22.9,11.2,55.48,0.3,1.0525,0.1781,1.866,27.1549
3626.0,0.445429234,139.0737765,260.2177701,1.871077184,13.9,30.9,42.28,0.18,0.2291,0.0528,0.1534,2.6119
3627.0,0.104594595,6.212856099,55.91570489,9.0,17.4,85.6,56.19,0.15,0.334,0.132,0.4608,5.2931
3628.0,0.587002141,483.8687307,462.9437821,0.956754906,11.7,25.5,43.56,0.37,1.5266,0.4646,0.505,26.4503
3629.0,0.4113,35.50433,254.79578,7.176470588,17.7,3.1,54.05,0.06,0.4017,0.2632,0.7938,2.5982
3631.0,1.008607595,1293.328424,3844.226648,2.972351473,14.5,43.8,44.18,0.34,1.0918,0.2713,0.8274,28.7663
3632.0,1.379283668,1229.488046,813.9843152,0.662051427,11.4,18.8,42.92,0.17,0.1676,0.0769,0.1305,3.8126
3633.0,0.344963145,36.36098014,4544.387953,124.979798,38.8,284.2,46.97,0.08,0.7962,0.293,0.7201,19.6451
3634.0,1.63125,1496.25,2639.355469,1.763980263,13.8,29.1,38.49,0.15,0.0468,0.0243,0.0505,
3636.0,1.723539373,281.3283064,930.5547689,3.307718234,16.3,37.0,35.78,0.03,,0.0155,0.0343,0.9
3638.0,1.195876289,200.2168137,500.5420342,2.5,15.5,31.4,36.34,0.04,,0.0168,0.0308,0.3333
3640.0,0.465138075,619.8563305,89495.19693,144.3805484,27.6,565.3,58.34,0.76,1.7292,1.4648,,129.27
3642.0,0.619907834,484.0265484,1033.601833,2.135423846,14.9,29.3,36.58,0.33,0.0406,0.0084,0.0327,1.4184
3643.0,1.053,150.579,383.292,2.545454545,15.3,34.0,38.63,0.03,,0.0163,0.0226,0.2669
3644.0,0.126133333,56.53831111,300.1789867,5.309302326,17.8,48.8,44.46,0.91,0.8448,0.1781,0.818,18.1734
3646.0,0.855515251,811.001388,9266.778876,11.42634157,18.4,97.0,49.57,0.3,0.8854,0.3532,1.3752,22.8316
3647.0,0.828861512,328.6915482,509.6387079,1.550507492,12.7,32.3,45.24,0.13,0.0567,0.0258,0.0467,0.9323
3648.0,0.388130081,6.62304845,254.1055985,38.36686391,25.2,176.2,50.39,0.01,0.0868,0.0774,0.3615,
3649.0,0.965240385,135.4011696,915.5698132,6.761904762,19.5,50.6,35.75,0.04,0.1051,0.0346,0.0595,
3650.0,0.408403194,866.8615006,22845.79066,26.35460295,21.4,167.6,53.56,1.35,5.501,1.4739,,238.786
3651.0,0.613210526,287.0983961,3905.89233,13.60471665,18.4,114.1,53.25,0.2,0.6718,0.2507,1.5266,22.1444
3652.0,0.469443726,671.9406757,18586.21386,27.66049822,21.7,169.1,49.92,0.81,2.0394,0.6306,5.8562,103.1373
3655.0,1.119846449,134.7275474,785.8720451,5.833046472,17.7,53.5,39.59,0.03,0.0667,0.0336,0.0546,1.0133
3656.0,0.671215971,808.2257015,917.1198883,1.134732398,12.3,26.2,46.51,0.48,0.1799,0.0787,0.558,10.4034
3657.0,0.177853403,38.89483841,75.14904471,1.932108418,13.2,36.8,55.03,0.33,0.3302,0.1497,0.8819,6.1467
3659.0,0.766095535,136.1335671,859.5862381,6.314285714,16.8,65.3,43.88,0.06,0.1189,0.0596,0.0924,1.5043
3660.0,0.724096134,239.1192994,757.2345992,3.166764879,15.5,39.8,39.16,0.12,0.0499,0.0148,0.0402,1.1294
3661.0,0.115857633,19.68820071,127.9367414,6.498142888,16.8,67.8,52.3,0.39,0.4349,0.132,0.7028,8.7376
3662.0,0.287982456,65.70395522,2162.17127,32.9077795,21.6,198.2,57.09,0.21,1.4242,0.8805,4.9804,38.557
3664.0,0.570665083,169.0137828,4116.311618,24.35488722,19.9,175.6,54.65,0.14,1.4953,0.5609,2.5213,24.9377
3665.0,0.598506057,1008.781872,5600.621412,5.551865636,17.2,55.3,50.1,0.75,1.9704,0.6504,4.6176,56.5534
3666.0,0.682829828,329.2026396,1127.279993,3.424273859,14.6,49.8,43.59,0.19,0.6998,0.2772,0.2898,8.3661
3669.0,0.197224335,179.0790643,204.0768639,1.139590854,13.8,19.5,37.77,1.24,,0.2011,0.3997,5.1601
3670.0,0.254125413,170.9221046,6112.668693,35.76289157,24.4,175.2,55.15,0.71,,,,25.5969
3672.0,0.740813008,45.57541146,135.7767466,2.979166667,17.7,27.1,27.45,0.02,,0.0103,0.0236,
3673.0,1.096863905,418.9062358,958.7972795,2.288811189,14.0,36.7,41.62,0.09,0.1453,0.0508,0.0737,1.0557
3675.0,0.384444444,822.6032124,68065.2378,82.74370532,27.9,325.1,58.53,1.47,19.8122,,,1982.1431
3676.0,2.092359932,1461.050372,15623.91312,10.69361702,19.7,78.2,40.46,0.09,0.857,0.2593,0.3609,15.7273
3678.0,0.20648,363.3267648,14796.428,40.72485001,26.2,181.5,48.43,2.23,31.9109,,,1488.6212
3680.0,0.6188,570.97152,217.51296,0.380952381,12.0,0.4,24.93,0.4,0.0457,0.0164,0.037,0.6446
3682.0,0.201301775,110.4360597,42625.81765,385.9773499,31.6,350.5,95.61,0.71,16.7926,,,591.1472
3685.0,0.530254777,337.7165656,92059.00525,272.5925069,35.2,711.4,70.21,0.32,,,,
3686.0,0.324009662,368.2376397,1625.480187,4.414215202,16.1,51.6,47.04,0.92,2.038,0.6564,4.4086,56.7659
3687.0,0.557007481,198.3798726,1586.963235,7.999618175,13.3,145.9,52.86,0.17,0.8574,0.2642,0.624,11.5708
3688.0,0.756323529,513.3185229,10568.99231,20.58954009,22.1,119.5,47.47,0.24,5.6324,1.7952,6.7265,129.4098
3690.0,0.938969072,115.1036773,1407.598183,12.22895928,17.9,109.4,51.22,0.03,0.0016,0.0297,0.2937,
3691.0,0.317,97.28975837,781.9274678,8.037099494,17.2,79.9,46.0,0.26,1.1168,0.3082,0.8835,19.5798
3693.0,0.336206897,1256.01962,121275.8621,96.55570676,31.1,326.4,73.63,2.89,11.1589,,,1080.7398
3694.0,0.493909866,528.6818425,9694.354443,18.33684016,20.0,130.6,62.42,0.57,1.5646,0.8073,,50.7704
3695.0,0.600376214,48.53164486,2329.034605,47.99001996,22.3,272.5,50.8,0.04,0.6931,0.1976,0.4957,11.8885
3697.0,0.802308802,115.9664726,6091.609176,52.52905464,23.5,271.8,52.08,0.05,0.776,0.1952,1.2677,19.2166
3700.0,0.725834522,302.7155333,3270.454787,10.80372306,18.1,94.0,45.85,0.15,1.4217,0.4379,0.77,23.9766
3701.0,0.49530343,1300.569848,4801.085121,3.691524241,16.7,39.8,40.9,1.43,1.3148,0.4139,1.1737,26.099
3706.0,0.234503817,230.3746402,471.3467047,2.046000829,14.2,32.7,41.92,1.16,0.5715,0.1564,0.4414,16.3563
3707.0,0.944115169,1803.832614,1409.64389,0.781471561,11.4,22.2,46.28,0.54,0.1716,0.0289,0.159,1.597
3708.0,0.847628571,455.82152,10190.67699,22.35672636,23.4,116.5,42.35,0.17,3.7042,1.7556,8.1811,98.9685
3709.0,0.357552743,2372.284632,35072.62802,14.78432543,24.4,80.0,43.21,5.01,0.2494,0.0397,2.1756,172.8721
3710.0,0.59732687,537.3565649,2191.041668,4.077444682,14.9,56.1,50.41,0.4,0.9239,0.3759,1.0017,13.0765
3712.0,0.451289398,909.9925288,14010.74704,15.39655172,19.9,112.5,58.87,1.18,3.3964,1.0937,,91.9095
3714.0,0.583,168.54,3556.194,21.1,19.9,6.2,53.81,0.14,4.5318,1.4695,4.6892,43.3414
3716.0,0.434976153,78.01755632,33.07570651,0.423952096,12.8,8.7,19.83,0.11,,0.0117,0.0248,
3718.0,0.380909091,359.7315757,3920.174846,10.8975,17.8,100.4,46.4,0.64,4.4829,1.51,9.4581,116.0381
3719.0,0.781349112,471.5504639,9839.744029,20.86678899,19.9,148.3,50.61,0.2,3.2807,1.169,4.1322,73.336
3720.0,0.220954064,14.27354599,2.469564172,0.173016864,11.0,5.5,17.07,0.08,,0.0154,0.0171,0.1431
3721.0,0.289834711,45.14509255,371.6374496,8.232067511,16.4,89.2,47.56,0.15,1.3966,0.3503,0.9905,22.7981
3724.0,0.528739003,50.55465876,799.8663367,15.8218126,19.9,113.3,50.54,0.05,0.5755,0.1937,0.2377,5.4483
3725.0,0.55,593.6,27.2,0.045822102,8.9,3.0,13.6,0.52,0.2916,0.0952,0.3418,5.3641
3726.0,0.154893617,101.5047533,531.515799,5.236363636,16.8,55.1,58.35,1.08,0.6764,0.2095,3.5649,39.0288
3727.0,0.790860849,1614.511482,11231.37293,6.956514745,16.2,79.5,51.3,0.69,0.9716,0.219,1.5854,50.8852
3729.0,1.096614173,472.0123155,284.7249352,0.603215056,13.6,10.6,21.03,0.1,4.052,1.2502,4.4092,11.6215
3731.0,0.719755725,531.2024763,1941.473628,3.654865545,15.7,43.9,40.04,0.27,0.7552,0.2486,0.3818,17.4128
3733.0,0.195365854,6.4921938,47.38254346,7.298387097,18.0,64.5,40.76,0.04,0.3295,0.0976,0.1165,3.8629
3734.0,0.390680787,162.5021759,3003.673525,18.48389727,20.3,127.0,52.92,0.29,2.4274,0.8123,2.3376,41.1592
3736.0,1.519352941,685.1116021,532.3797163,0.777070064,14.2,12.1,21.93,0.08,0.1759,0.1052,0.2473,2.1402
3737.0,0.288086643,127.8783771,618.6434073,4.837748344,17.5,45.7,37.44,0.39,,,0.1214,
3738.0,1.7248,804.44672,3430.28224,4.264150943,14.5,62.8,46.88,0.07,0.3154,0.1364,0.1551,3.0918
3740.0,0.327,31.63348795,124.8936969,3.948148148,16.0,45.8,41.95,0.08,0.3688,0.1568,0.2297,3.3754
3741.0,0.216140351,6.387042167,7.846937519,1.228571429,15.3,15.9,23.69,0.03,,0.0073,0.0124,0.254
3743.0,0.582836538,84.80811298,277.2572924,3.269230769,15.6,40.4,39.98,0.07,0.2366,0.0792,0.1366,2.827
3744.0,0.672971014,332.2240824,2879.109972,8.666168783,15.8,104.5,61.95,0.2,5.9536,2.083,5.2353,82.3467
3745.0,0.234722222,12.95717593,28.05555556,2.165252345,15.0,29.3,47.38,0.06,,0.6103,0.3932,0.708
3746.0,0.385443609,113.1016166,283.3343805,2.505131129,15.2,32.7,42.81,0.2,0.2795,0.1127,0.1906,2.604
3748.0,0.466248038,197.9565713,234.2951285,1.18356833,11.7,30.8,46.5,0.24,0.4742,0.2078,0.234,
3749.0,0.6383,60.27025,151.88103,2.52,15.5,1.2,51.3,0.04,0.055,0.0394,0.4846,0.9265
3751.0,0.195234375,22.64515381,88.24695435,3.896946565,17.0,39.3,42.48,0.16,,0.0191,0.0639,0.8299
3752.0,0.41,31.4,73.1,2.328025478,17.0,14.5,26.34,0.05,,0.0852,0.1403,
3753.0,0.404466403,54.30661626,214.2530656,3.945247934,14.3,60.4,49.12,0.09,0.4653,0.1629,0.2507,5.7491
3755.0,0.589346247,2734.540504,3532.721839,1.29188865,15.1,18.0,30.41,2.12,1.3198,0.5427,2.7062,51.8236
3756.0,0.700549882,109.7698887,1434.558863,13.06878307,19.4,99.0,49.29,0.06,0.166,0.0583,0.1234,1.8868
3757.0,0.50700707,525.8818191,11140.4158,21.18425738,19.9,153.9,62.06,0.55,1.112,0.5929,4.0544,35.437
3758.0,1.141168521,607.0389917,4633.226769,7.632502743,17.7,70.0,45.51,0.12,0.4861,0.1809,0.4599,11.0457
3760.0,1.015418994,222.5270872,5231.274505,23.50848416,23.3,122.8,43.77,0.06,0.4857,0.2824,0.7017,
3761.0,0.264093023,3.257990265,184.1367831,56.51851852,25.2,261.8,67.24,0.01,1.7043,0.6196,4.8515,31.7458
3762.0,1.049601251,409.3455517,4593.567353,11.22173512,18.4,95.7,47.91,0.1,0.4201,0.1584,0.3873,11.16
3763.0,1.342265625,817.8690262,14170.46781,17.32608444,18.2,149.3,63.52,0.12,1.6752,0.7081,2.5974,42.3097
3764.0,0.84,360.0,6196.6,17.21277778,19.0,135.9,49.34,0.14,0.4959,0.2251,0.8354,13.6235
3767.0,0.43904,2911.994266,226970.5517,77.94333746,32.1,257.2,58.1,4.03,14.0044,,,1321.8795
3768.0,0.180277778,21.69783951,619.4247685,28.54776248,22.1,165.5,47.0,0.17,0.6949,0.2262,1.0651,27.3728
3769.0,0.409782609,1520.741678,115033.6653,75.6431332,25.5,355.6,89.52,2.42,13.8405,,,369.529
3770.0,0.82526245,1369.07109,85480.73389,62.43703086,27.3,247.7,66.82,0.53,4.9842,,,235.9384
3771.0,0.39144623,64.86317922,222.2839288,3.426966292,16.9,35.1,35.96,0.11,,0.0097,0.0221,0.174
3773.0,1.119066667,606.4907271,1157.300224,1.908191126,13.8,31.6,40.05,0.13,,0.183,0.1988,
3774.0,0.271604938,44.74927602,327.0477061,7.308446866,16.2,82.7,56.54,0.16,0.1365,0.0742,1.14,5.3143
3775.0,0.0245,0.098,0.94325,9.625,18.0,3.4,48.73,0.04,0.0633,0.0327,0.0904,
3776.0,0.25,645.0,3425.4,5.310697674,17.7,51.9,49.86,2.71,2.9148,0.9591,7.859,80.4204
3777.0,1.02,242.3,36.4,0.150226991,9.8,2.6,38.9,0.06,,0.0422,0.0571,0.444
3778.0,0.989333333,749.1899698,459.1809492,0.612903226,12.0,15.1,42.1,0.19,0.0257,0.0079,0.0187,0.1927
3779.0,0.482663102,1473.463677,20952.95233,14.22020282,20.6,98.7,48.64,1.67,0.1498,,0.335,3.3038
3781.0,0.53,79.9,689.4,8.628285357,16.8,87.7,47.56,0.07,0.9314,0.3105,0.3864,9.5805
3782.0,3.225317919,1900.261153,7979.491552,4.199155227,14.4,62.1,52.35,0.05,2.359,0.6642,1.9067,49.4595
3783.0,0.666425,789.1775875,28072.8938,35.57234043,21.8,214.5,56.04,0.48,1.2969,0.4174,4.8241,67.5781
3784.0,0.839791356,1452.160759,134787.4819,92.81856782,25.2,425.6,62.65,0.55,5.3343,1.9152,,312.4762
3786.0,0.042222222,0.594238683,12.82565158,21.58333333,20.0,157.1,51.26,0.08,0.4842,0.1221,0.7614,9.6879
3787.0,0.503035714,1486.553836,5276.682393,3.54960733,15.4,46.5,48.77,1.55,0.182,0.033,0.4529,8.9627
3788.0,0.308641975,249.8785437,2925.3115,11.70693352,17.9,107.0,73.62,0.69,1.1268,0.4769,4.9338,28.0202
3789.0,0.708505263,3600.790763,18779.17937,5.215293142,17.2,53.0,45.65,1.93,4.0344,2.2454,16.5669,
3790.0,0.852972769,342.6093029,919.5339763,2.683914209,15.3,34.7,38.45,0.13,0.0854,0.0357,0.0611,1.1991
3792.0,0.31,12.3,91.5,7.43902439,17.8,40.4,42.47,0.03,0.0758,0.0089,0.0282,
3793.0,0.877136259,845.7349156,30808.62983,36.4282345,23.1,194.1,62.22,0.29,1.3991,0.8909,,86.8879
3794.0,0.2912,2.1632,133.68576,61.8,36.4,146.4,37.49,0.01,0.1813,0.0499,0.1961,
3795.0,1.307229572,1763.431085,10010.80911,5.676892736,15.9,66.7,52.42,0.27,0.5073,0.2161,1.6108,19.2644
